buoy,NB,YP,GC,GS
2019F2,0.01878746465849955,0.13319000040362344,0.0784291006392179,
2019O1,0.021934265438689645,,,
2019O3,0.018418572757658493,0.14409337273565914,0.0782725331019451,
2019O4,0.019900034148443928,,,
2019O5,0.018002740692083522,0.11263183309409125,,
2019O6,0.019865041434647946,0.11631727565642695,,
2019P102,0.019121579380326978,0.12352872010575877,0.08719417882450724,
2019P103,0.02022384623991243,0.12810225549352364,,0.13121013628675357
2019P105,0.021258389428681308,0.11526620990318516,0.09150800184691392,
2019P123,0.020337386527914746,,,
2019P124,0.019437845918541634,0.11407034228661415,,0.0866950503463933
2019P125,0.01820146227727398,,,0.0904789337667485
2019P127,,0.0931365321131966,,
2019P128,,0.08741503451361951,,
2019P137,0.01907944629131047,0.12000366902578334,,
2019P138,,0.13056664168411206,,
2019P139,0.02064429807772017,0.12028249134499655,0.08032973380945403,
2019P140,0.018661352202461436,,,0.13944769296397963
2019P142,0.021952410350725468,,0.08775618201509393,
2019P144,0.01849822436346485,0.10656907151476325,0.10712368260057886,0.13335400901718153
2019P146,,,,0.11788368412745458
2019P148,0.021058278134314882,0.11606707415873722,,0.1233153432674408
2019P151,,0.12961864060359515,0.08701677789241793,0.10891089262410732
2019P152,,0.08020168357344798,,0.08971661538274639
2019P155,0.01780331506347449,0.12703937912460167,,
2019P157,0.029844714890128653,,,
2019P158,,0.13038299537067458,,0.10919728238231208
2019P159,,,0.08717421959705,
2019P182,,,0.09474099727621965,
2019P184,,0.07547842764533241,,
2019P191,0.022219134600818514,,0.09933034448954903,
2019P192,0.021953050609497232,0.106913074603797,,
2019P194,0.02223809503327677,,0.09782330745432537,
2019P195,0.018899075231544268,0.13376020124141738,0.08113605890693008,
2019P196,0.01931727994960123,,,
2019P197,0.021465065828912746,,,
2019P198,0.019373407770228328,0.10735649970144502,,0.09876726356912338
2019P199,0.0193841795466557,0.12741126809856115,0.0935495757469374,
2019P200,0.01878150086026672,0.12030345667304013,0.08434349962033896,
2019P201,0.019418296575510276,0.1308113237443806,0.09046233435193238,
2019P202,0.021022815300033883,,,0.11497904780646519
2019P203,0.01924031282715775,,,
2019P204,0.019870865715012957,0.1300783563825937,,
2019P205,0.021275386426356426,0.11701149630416628,0.09541261209762646,
2019P206,0.019065091957731997,0.12049541310745537,,0.12841679090956457
2019P209,0.021522608595188376,0.11680386164023172,0.10364860631015922,
2019P90,0.018764403047522624,,,
2019P92,0.02186429968455894,0.10521848608914965,,
2019R8,0.021510829833122462,,,
2019R9,0.019221873708783983,,,
2019S81,0.018406526895592242,0.14406501143977718,0.078226187593625,
2019S86,0.019885154329767625,0.11623689808143048,,
2019S93,0.01889301925197035,0.13346715531110673,0.07846452636928124,
2019S94,0.019016459240993218,0.12208376925161173,,
2019S96,0.01988146358404307,0.12950761930423432,0.08497171713829363,
2019T56,0.01980406335334,,,
2019T58,0.019925671656366047,0.1225858203753623,,
2019T59,0.018347464189838937,0.14525341905066558,,
2019T62,0.019863119599727964,0.12956243670725592,0.08498752080420419,
2019T63,,0.13390151330346645,0.0759740252762556,
2019T64,0.019886679409953485,0.11621998007257336,,
2019T65,0.018819968918727233,0.1338723925509273,0.07693909170200523,
2019T66,0.019895784071409912,0.12866283948651513,0.08421783009175854,
2019T67,0.021420954877027824,,,
2019T68,0.02187620969770675,,,
2019T69,0.021382528276389777,0.11706440219434719,0.08435378623822759,0.10204297121420232
2019T70,0.01906443172698339,0.12199765029434521,,
2019V2,,0.1499245608897347,0.07807133370565313,
2019V3,0.018430950650433493,,0.0737311882928263,
2019V4,,0.11286417322971769,,
2020E1,0.019854037142562092,0.12881462673164712,0.07546007383253858,
2020E2,0.01980485310048993,,,
2020E3,0.020061484917238526,0.12978580449485716,0.08654420641888975,
2020M26,,,0.08343465606206044,
2020M29,0.019821471333691873,0.1296426053756442,,
2020P160,0.016959926448147228,,0.05150859391077628,0.07984641983518773
2020P185,0.021136027919028903,0.12504231059081194,,0.13349382849033853
2020P186,0.019730122402032868,0.1308141235733871,0.08818521954885188,
2020P210,0.01954994652209375,,0.12524368350900136,
2020P211,0.016563329566872998,0.11154284758878158,,
2020P213,0.016312517295318317,0.16784232853630363,0.07471654623345093,
2020P214,0.021570494530018275,0.10991474335786892,,
2020P215,0.019592605342935915,0.11433978990778071,,
2020P216,0.01907567118731287,,0.08786001897815744,
2020P217,0.018105870340601335,0.16877369151038793,0.06235906675450226,
2020P218,0.019213377693047234,0.14494629587983549,0.07705215963754408,
2020P219,0.018720689134645634,0.11795990789452324,,0.12194053115802497
2020P220,0.018222927458920138,0.13499156873078752,,
2020P225,0.019582656089016784,0.12971851514071686,0.08669181820178387,0.062383553458149825
2020P226,0.019987827804800018,0.12993870575082586,0.08727734759627984,
2020P227,0.019774017137549345,0.12828531959435702,0.08085639856709398,
2020P228,0.019750374985836597,0.13015685544872363,0.08168199324203075,
2020R10,0.019712218209232545,0.12978112321483234,,
2020R11,0.01984820113226206,0.12955322666133245,0.08513782737827776,
2020R12,0.019073089108832653,0.12206787736064213,,
2020S97,0.019977863753755043,0.12884983596596175,,
2020S99,0.02146348200465944,,,
2020T61,0.019901693009671775,0.1286087277369291,,
2020T73,0.020071968129952884,0.13127877181818737,0.07917634303031255,
2020T74,0.019708594009573185,0.12813020889587226,0.08196692110039225,
2020T75,0.019872010314694454,0.12869944606937947,0.08087212075929134,
2020T76,0.01985622278309484,0.12689760911409953,,
2020T77,0.02124909593595018,,,
2020T79,0.019924149874284328,0.12956037167028311,,
ASFS30UCB3,,,0.07882739442092816,
